"",weight,が良く,の良い,がよく,が良いです,のよい,が悪い,もよく,も良く,も良いです,が良い,が悪く,がいいです,がよい,も良好です,がいい,が良いので,が悪いと,もいいです,は良好です,は良く,がいいので,は良い,は良いです,はいいと,もいい,のある,も良い,は良いと,が悪いです,が良いと,の悪い,が良くて,も良いので,はいいですね,が高い,の高い,も高く,が感じます,があります,が良くない,も良いと,がいいと,が悪いので,はありません,はいいです,も悪くなく,が高いので,は悪いです,を考えると,があり,もいいですね,は感じです,が良いのか,といい,も気に入っています,がよいです,も満足しています,が違います,が高く,にありません,もよい,は良いのですが,もいいし,も良いですね,もありません,がいいですね,になります,もある,にある,もあり,は最高です,が高いです,もあります,も良好,も良いし,は落ちますが,がイマイチ,がよいと,を考えて,はよく
weight,"",6.48304130525292e-13,6.28876541183263e-13,5.87138460473832e-13,5.36371465609619e-13,5.34757946696597e-13,5.28089473879602e-13,5.24641863121224e-13,5.14115679050511e-13,5.01998540607272e-13,4.70299410845451e-13,4.68700915361804e-13,4.49921023264822e-13,4.32041143193411e-13,4.08875704710643e-13,4.0548696083738e-13,4.04728902750228e-13,3.90215565973006e-13,3.86058966844062e-13,3.78925631803658e-13,3.69772565243638e-13,3.49757875827463e-13,3.37661762339096e-13,3.33264574404538e-13,3.29822871890007e-13,3.2958375002862e-13,3.2654425740457e-13,3.23768673478926e-13,3.2283760848688e-13,3.21726169464646e-13,3.20921879326517e-13,3.17438026016307e-13,3.12892818740472e-13,3.07983836758956e-13,3.04084158945705e-13,2.9832426187001e-13,2.94057463216347e-13,2.89674060523417e-13,2.86769897034914e-13,2.84189765765005e-13,2.8331838184618e-13,2.79961517604867e-13,2.78958862733065e-13,2.78355988543677e-13,2.76363963448182e-13,2.75568426657133e-13,2.75045728383284e-13,2.70245511209092e-13,2.67828775577006e-13,2.65389681219224e-13,2.65365613833778e-13,2.6404397640255e-13,2.62251280711928e-13,2.6097855422884e-13,2.60540761083378e-13,2.5634523971266e-13,2.54754674568983e-13,2.53406447752787e-13,2.52009221327659e-13,2.50899805748937e-13,2.46830660688942e-13,2.45331159239789e-13,2.45016133369794e-13,2.44210272564238e-13,2.39753667832643e-13,2.39183053604971e-13,2.35847192750207e-13,2.35083667469231e-13,2.34976699309027e-13,2.34669864359375e-13,2.34198440915367e-13,2.32747855681555e-13,2.31296336403041e-13,2.29094571132095e-13,2.28877027331914e-13,2.2796191812841e-13,2.27744323823169e-13,2.2746227627675e-13,2.17870532507476e-13,2.17003451350973e-13,2.14009614334029e-13
評判,2.62715582391943e-14,0,14,1,0,3,0,0,0,0,1,0,0,0,0,3,6,0,0,0,1,2,0,0,0,2,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
相性,2.54890488417954e-14,1,1,0,2,0,0,0,3,3,2,0,0,1,0,0,1,0,2,0,2,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
デザイン,2.49183499650707e-14,3,1,1,2,0,0,1,7,2,7,0,0,1,0,1,2,0,3,1,0,0,2,2,6,2,1,2,11,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,1,0,0,0,0,0,5,0,1,3,0,1,0,0,0,0,2,3,0,1,4,1,0,0,0,2,0,0,0,2,0,0,0,0,1
気持ち,2.4885725183324e-14,0,13,1,2,3,0,0,0,0,7,0,9,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
もち,2.43725614074789e-14,0,0,0,1,0,7,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,1,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
写り,2.39765287470462e-14,4,7,0,1,1,2,1,4,0,4,0,1,0,0,5,1,1,0,1,2,2,3,4,2,3,0,2,5,0,2,0,2,0,4,0,0,1,0,0,0,2,1,0,6,7,1,0,0,0,0,0,1,0,0,0,0,1,4,0,2,1,1,0,0,8,0,3,0,2,0,4,0,1,0,1,0,0,2,0,0
視認性,2.39661211988985e-14,0,2,1,0,0,1,0,2,0,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
重量バランス,2.26708513491698e-14,3,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,2.24205540333139e-14,1,2,0,0,0,0,0,6,3,0,0,1,0,1,1,2,0,1,0,3,1,1,5,0,1,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,3,5,0,1,0,0,0,0,0,0,0,0,1
ホールド性,2.226500575797e-14,4,0,1,2,0,2,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
感度,2.20506938033768e-14,2,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,2.20445727045535e-14,0,0,0,0,0,2,0,1,0,1,1,1,0,0,2,1,0,0,1,0,1,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0
画質,2.17067231442162e-14,6,2,1,6,1,12,11,14,5,24,0,6,1,2,9,5,4,9,2,7,1,7,13,11,4,0,10,19,4,13,2,2,0,2,0,0,0,0,1,1,6,1,2,18,11,3,0,3,2,1,1,2,1,3,3,0,11,2,0,3,0,4,2,0,6,1,5,0,3,1,7,0,0,1,2,5,1,0,0,2
質,2.15905303418974e-14,1,4,0,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
精度,2.0543525241127e-14,2,2,0,0,0,2,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,4,1,3,0,1,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
感触,2.03623207012865e-14,1,0,0,2,0,0,1,0,1,2,0,0,1,0,1,0,0,3,0,0,0,0,6,0,0,1,2,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
見た目,2.02065902055675e-14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
描写力,2.00715973406962e-14,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,4,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
反応,2.00186629385299e-14,1,2,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,1.97458777877002e-14,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
