"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,の高い,が高い,が悪く,がいいです,がよい,がいい,が良いので,は良いです,も高く,もいいです,も良好です,が悪いと,が高いです,が高く,は良く,が高いので,は良好です,がいいので,も良い,は良いと,が良いと,は良い,もいい,のある,はいいと,が悪いです,も良いと,も良いので,はいいですね,が良くて,は高い,の悪い,はありません,が感じます,はいいです,があり,があります,は感じです,といい,がいいと,が高いと,は高く,も高い,は最高です,が良くない,も悪くなく,が悪いので,は良いのですが,を考えると,が違います,もありません,も満足しています,は悪いです,は高いと,が低い,も気に入っています,もいいですね,にありません,もあり,も良いですね,がよいです,にある,が良いのか,がいいですね,にあり,は落ちますが,もある,はあり,もいいし,も含めて,も良いし,がある,はよいと,がよいと,が違う,もよい,はよいです,は抜群です,もあって,もなく,になります,もあります,はいい,を考えて,も高いです,は思います,もいいと,も良好,がイマイチ,になる
weight,"",3.61216148557593e-11,3.53418876128256e-11,3.11916055719158e-11,3.10244978659473e-11,2.98047327653449e-11,2.97526192062371e-11,2.93194454658266e-11,2.79931020524439e-11,2.78962619012512e-11,2.78325083427677e-11,2.67475864619248e-11,2.64023854185988e-11,2.56482661998389e-11,2.50807580837173e-11,2.44538909232069e-11,2.32797699161604e-11,2.32041479696675e-11,2.20635150416128e-11,2.20416922698703e-11,2.19411217793241e-11,2.17730957376228e-11,2.14307669255557e-11,2.14266433392689e-11,2.1421537343136e-11,2.10074581069937e-11,2.06524362696778e-11,2.06216325637334e-11,1.95278770694676e-11,1.93890352401995e-11,1.92670772818174e-11,1.92559261648967e-11,1.92337874130614e-11,1.9048576883721e-11,1.90411537959472e-11,1.78552377516979e-11,1.77416538145663e-11,1.7612064509832e-11,1.7555383725224e-11,1.74089117356311e-11,1.73561895791032e-11,1.68436940584531e-11,1.6712586276109e-11,1.66974456643639e-11,1.65064516287096e-11,1.63754145324722e-11,1.58979301644725e-11,1.57743941612507e-11,1.56957735347405e-11,1.55578572993434e-11,1.54710101494907e-11,1.54659959614761e-11,1.53301190696072e-11,1.52842803470438e-11,1.52785263285366e-11,1.52215657657817e-11,1.50835415694445e-11,1.50649037327736e-11,1.50124930770704e-11,1.47970478621178e-11,1.47785777866305e-11,1.46610710251863e-11,1.46472626315829e-11,1.46372552723417e-11,1.44745150470153e-11,1.44579417771045e-11,1.44192847129016e-11,1.42918526027313e-11,1.39670290838169e-11,1.38827458624049e-11,1.35817344681031e-11,1.35436569636432e-11,1.34293606069834e-11,1.34129146003575e-11,1.32262730287152e-11,1.32184553543968e-11,1.31851088529059e-11,1.31681556340171e-11,1.28116150890103e-11,1.27826176827219e-11,1.26101990416839e-11,1.26052506349026e-11,1.24879078386765e-11,1.24706449794084e-11,1.24141595237955e-11,1.24135565478012e-11,1.23631174496192e-11,1.23207660525773e-11,1.22856843906978e-11,1.22787070399834e-11,1.22127351425504e-11,1.21851688459304e-11,1.21211803609577e-11,1.20128062304438e-11,1.19646508412401e-11,1.1876009422219e-11,1.17805830734421e-11,1.17762890904396e-11,1.17383886019476e-11,1.17047724728535e-11,1.16287179234657e-11
発色,1.33142743888915e-12,3,1,1,3,2,6,0,4,1,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,0,0,1,2,1,1,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,2,1,0,0,1
写り,1.32951780209309e-12,4,7,0,4,2,1,1,0,1,4,0,0,0,1,0,5,1,4,1,0,0,1,0,0,2,0,1,2,2,5,2,3,3,0,2,0,2,0,4,2,0,0,6,0,7,0,0,1,0,1,0,0,0,4,0,1,0,1,0,4,8,1,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,2,0,0,1,0,2,2,1,1,0,0,0,0,3,1,1,0,0,4,1,0,0,3
精度,1.30696957414277e-12,2,2,0,1,2,0,0,1,0,2,1,4,0,0,1,0,1,1,3,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,0,2,2,0,0,2,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
色のり,1.29347326663573e-12,1,1,2,0,0,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
相性,1.29243502639079e-12,1,1,0,3,0,0,2,3,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
評判,1.27763809950079e-12,0,14,1,0,0,0,0,0,3,1,3,0,0,0,0,3,6,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像度,1.22677725308119e-12,0,0,0,1,1,1,0,0,0,1,5,6,0,0,0,0,0,1,7,0,0,2,2,8,1,2,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
質感,1.22270726307342e-12,5,1,1,5,1,2,2,2,0,4,5,9,0,1,1,4,0,4,4,5,2,0,2,6,0,0,1,0,6,4,1,0,0,2,2,0,3,0,1,1,2,0,2,1,5,4,3,4,4,0,2,0,0,4,0,1,0,1,0,1,0,1,0,2,1,2,0,0,3,0,0,1,0,2,0,1,0,1,0,3,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,2,1,0,0,0
コストパフォーマンス,1.20766119414292e-12,1,5,0,1,0,1,0,0,0,5,36,14,0,0,3,1,0,4,4,0,0,0,4,4,0,2,0,1,0,8,2,0,1,0,1,0,2,0,3,0,2,0,0,0,1,0,0,0,1,0,6,0,3,9,0,0,0,0,10,0,0,0,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,1,1,2,1,0,0,0
視認性,1.20356416189175e-12,0,2,1,2,1,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
気持ち,1.20274789930229e-12,0,13,1,0,0,0,2,0,3,7,0,0,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
画質,1.18419266262318e-12,6,2,1,14,12,11,6,5,1,24,0,0,0,6,1,9,5,13,0,9,2,4,0,0,7,0,2,1,10,19,13,7,4,0,11,4,6,0,2,2,0,2,18,0,11,1,1,2,3,1,0,2,0,7,1,3,2,4,2,2,6,11,3,0,1,3,1,3,1,0,0,3,1,1,1,5,0,8,2,1,2,0,1,0,3,0,2,1,0,5,5,0,3,0,0,28,2,1,1,3
もち,1.17252200965842e-12,0,0,0,0,7,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
感度,1.15313064173813e-12,2,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
コントラスト,1.12615682722745e-12,0,1,1,1,0,0,0,0,0,1,11,5,0,3,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
質,1.11309089673577e-12,1,4,0,1,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,1.10223858173191e-12,1,2,0,6,0,0,0,3,0,0,0,0,0,1,0,1,2,5,0,1,1,0,0,0,3,0,0,1,1,0,4,1,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,2,0,0,0,0,0,1,0,0,0,1,7,0,1,0,0,5,2,0,0,2
描写力,1.10002676296557e-12,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,2,0,2,0,1,0,1,0,4,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ホールド性,1.08012106174734e-12,4,0,1,0,2,0,2,0,0,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
性能,1.0742633746873e-12,0,5,0,3,0,0,0,0,0,2,1,2,0,0,4,2,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,3,0,0,0,0,2,0,0,1,1,0,0,2,1,2,0,1,1,0,0,0,0,0,0,12,0,0,0,0,2,3,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0
感触,1.05056135692748e-12,1,0,0,0,0,1,2,1,0,2,0,0,0,0,1,1,0,6,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
満足度,1.04054138560923e-12,0,0,0,0,0,0,0,0,0,0,45,7,0,0,0,0,0,0,0,0,0,0,16,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
色,1.03671789092163e-12,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,1,0,0,1,1
重量バランス,1.03609505310373e-12,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.00028448757164e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
操作感,9.66717548188536e-13,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解像感,9.45488874148182e-13,0,0,0,2,1,1,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,8,4,1,3,0,1,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0
シャッター音,9.42217438648325e-13,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ボケ味,9.35984491607403e-13,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
反応,9.32270132129521e-13,1,2,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,9.19005751029981e-13,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
使用頻度,9.15220105274973e-13,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,1,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
完成度,8.8765554450445e-13,0,0,0,0,0,0,0,0,0,0,37,11,0,0,0,0,0,0,3,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取り回し,8.74273788369867e-13,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AF精度,8.73922749317617e-13,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
位置,8.47295415483409e-13,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,8.33809303011112e-13,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,8.28364495700264e-13,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
レンズ,7.77308103975173e-13,1,5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,1,2,2,1,3,0,3,0,0,0,1,1,1,2,8,1,4,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,6,0,2,3,0,1,5,0,2,0,5,0,1,0,0,2,0,0,1,3,0,0,0,0,6,0,0,0,0
色合い,7.7383804037868e-13,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,4,0,1,0,1,1,1,0,0,0,0,3,0,0,0,2
切れ,7.72528668331764e-13,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
